Wordpair,GoldSimilarity,WW,CC,BB,WC,CW
novel-writer,1.92,0.503168613,-0.065145586,0.245665177,-0.067055904,0.146873832
sandwich-subway,1.75,0.338085532,-0.097914853,0.155338148,-0.099083689,0.17901381
acoustics-sound,2.67,0.582808554,-0.14334003,0.067829512,-0.091077318,-0.230588496
fencing-gymnastics,2.33,0.771739483,-0.115814194,0.328484545,0.024578128,-0.006007899
writer-gift,0,0.184527822,-0.064330924,0.066023041,0.130564854,-0.104079091
woodland-tiger_woods,0.08,0.120066889,0.036740977,0.028977094,-0.049149148,-0.05418849
cloud-window,0.67,0.455575258,0.111281514,0.232693434,0.103947185,-0.210377857
jpeg-pdf,3.08,0.503036767,-0.12134397,0.167362511,0.036102796,-0.071696833
director-boss,3.33,0.308516026,-0.081240018,0.147670656,0.011665484,0.055325869
tax-brexit,1.17,0,0,0,0,0
pollination-stamen,2.42,0.637406626,-0.143692613,0.266746537,0.059408713,-0.014222403
videogame-pc_game,3.33,0,0,0,0,0
treatment-surgical_operation,2.33,0.667034268,0.087973781,0.224493414,-0.182854772,-0.190984845
paddy-potato,2.67,0.534517407,-0.19813557,0.191329312,0.104152113,-0.015334148
note_taking-assignment,1.83,0,0,0,0,0
fox-blood_cell,0.33,0.060389142,-0.072350651,0.095736973,-0.051173143,0.236067474
sodium_chloride-salt,3.92,0.693708819,-0.107030726,0.304841697,-0.010726058,0.092514545
income-quality_of_life,2.17,0,0,0,0,0
will-intention,3.5,0.44542098,0.069842599,0.38693779,0.202912331,0.090003803
compass-elephant,0.17,0.235909775,-0.12098068,-0.103843189,0.099447191,-0.382535421
sequel-camera,1,0.221891416,-0.097884886,-0.161112577,-0.151577145,-0.244184374
movie-film,3.92,0.913604076,-0.073554353,0.388223582,-0.066893298,-0.034162246
sergeant-gun,1.75,0.409643829,-0.083731562,0.198853683,0.025737457,0.084743075
mill-seed,0.75,0.220233381,0.21062727,0.036875673,-0.424694325,0.062828086
ice_cream-breakfast,1.17,0.683995843,0.191661041,0.502045214,0.128057748,0.11173661
key-lock,2.33,0.366999626,0.251625106,0.441372275,0.260531054,0.171111614
cellphone-telephone,3.92,0.740423843,-0.043287829,0.407415718,0.197227683,-0.10339573
kindergarten-preschool,3.75,0.849846873,-0.362337904,0.202182886,0.182884506,-0.287568463
western_world-western_union,0.42,0,0,0,0,0
seedling-leaf,2.25,0.629852929,0.133538165,0.472185731,0.093952334,0.162703554
rain-hail,3.08,0.592496563,-0.009482853,0.296241259,-0.010776151,0.059121456
happiness-sadness,2.33,0.746114716,0.287454516,0.608414888,0.236583769,0.175147504
silkworm-caterpillar,3.33,0.47701624,-0.06930653,0.27979055,-0.000309635,0.164069772
surfing-water_sport,3,0,0,0,0,0
car-truck,3.17,0.869291858,0.016244606,0.428080022,0.051102193,-0.084648182
food-program,0.25,0.317986689,0.037070759,0.157728532,0.132468611,-0.176062354
graphic_novel-comic_book,3.42,0.87227606,0.123088874,0.446110249,-0.016651348,-0.160885895
snake-lizard,3.08,0.807420302,0.121326633,0.53345561,0.097524805,0.07659429
pineapple-smartphone,0,0.175943545,0.251317456,0.269434856,0.014837775,0.123227477
wallpaper-background,3.42,0.282355666,-0.095122151,0.180055853,0.129547119,-0.042624503
celsius-microsoft,0.08,0.074404858,0.46589512,0.101276702,-0.189508743,-0.186233044
combine-sugarcane,0.75,0.067518137,0.224269731,0.206527727,-0.036888933,0.204879642
jeans-woman,0.75,0.332096179,-0.037181077,0.03163063,-0.202823129,-0.032520274
matrix-vector,2.83,0.79300158,0.122306057,0.580792665,0.349172622,0.070199724
carbon_dioxide-co2,4,0,0,0,0,0
coach-player,2.5,0.563023977,0.275241749,0.547956261,0.158345829,0.322391321
stone-wood,2.33,0.746647641,-0.024658965,0.377187155,-0.011081625,0.038557319
charger-disk,1.08,0.374951892,-0.221150607,0.126261465,-0.133223802,0.214253304
manuscript-article,3.5,0.334210306,-0.108013213,0.160959608,0.113155633,-0.015070219
gmail-yahoo,2.42,0.729023083,-0.100053482,0.36092808,0.215838266,-0.057125933
capacitor-diode,3.17,0.916701431,-0.053549669,0.442197595,0.014970077,0.030863713
corruption-fraud,3.17,0.728911503,-0.056313112,0.300372541,0.083579143,-0.144242778
coca_cola-coke,3.92,0.468481449,-0.122345954,0.204525983,0.240180642,-0.203582749
plato-aristotle,3.17,0.905940831,-0.096661328,0.413153708,0.033987196,-0.014747906
cold_war-soviet_union,2.58,0.671569546,0.046809137,0.332878133,0.015997609,-0.061530512
nozzle-fluid,2,0.753574714,-0.001372502,0.417595863,0.08893469,0.034792284
phonology-screen,0,0.105857787,0.003292258,-0.043129121,-0.209161873,0.016388076
zara-leggings,1.67,0.195594203,0.15677258,0.094141163,-0.219410835,0.038352694
football-soccer,4,0.827339629,0.342826813,0.661685864,0.199593794,0.17664295
germ-pathogen,3.92,0.562335048,-0.046522493,0.309579391,-0.077033249,0.200024509
republic-duke,1.17,0.178432107,0.043318832,0.073257983,-0.005790819,-0.078851504
ball-sphere,3,0.332833946,-0.349545956,-0.11494477,0.123499379,-0.29450804
mozart-star_wars,0,0.141851544,0.070462197,0.242924154,0.172421634,0.160851032
mask-party,1.33,0.143683979,-0.086308847,0.071653296,0.144812825,-0.039488765
grand_theft_auto-gta,4,0.565551639,0.51829067,0.39830333,-0.168400268,-0.275959492
highway-road,3.42,0.828151226,-0.04730108,0.400962257,0.016953055,-0.012381394
chain_reaction-thermodynamics,2,0.332997411,0.220808837,0.146437958,-0.121271193,-0.149939013
illustration-blister,0,0.185905278,-0.004469101,0.074167341,0.110636793,-0.14781169
anthropology-archaeology,2.92,0.790320873,-0.184899166,0.29715808,-0.141474992,0.135945335
dell-dingle,0,0.190302592,0.153900728,0.059847135,-0.097503325,-0.127982333
juice-spoon,0.25,0.67453917,-0.237768247,0.25045988,0.181267238,-0.100660032
pfizer-drug,2.5,0.572750449,0.091254815,0.289651905,-0.024424743,-0.077842422
truck-parcel,0.67,0.296969849,-0.203719062,-0.034689121,-0.181935381,0.021761378
receptor-protein_molecule,2.75,0.684538245,-0.047181756,0.198911533,-0.106959498,-0.162274878
google_drive-driver,0,0.296683651,-0.313713014,0.083790407,0.129529484,0.052516097
billionaire-homeless,1.67,0.228789834,-0.108724862,0.036393842,-0.235570653,0.19190104
episode-chapter,2.83,0.33343183,-0.115146853,0.122684546,0.075347787,-0.036099516
infinity-zero,2.33,0.71570519,-0.207856943,0.160758838,-0.060078613,-0.154744096
servant-slave,3.42,0.643486738,-0.145104029,0.305243373,-0.033518056,0.179859459
suffix-affix,3.33,0.732764244,0.055838283,0.366497189,-0.197432563,0.078998049
global_warming-heat,2.42,0.337465297,0.103905886,0.139031091,-0.101916349,-0.08584938
growth_hormone-somatotropin,3.92,0.825167923,-0.044262789,0.452551782,0.07387665,0.099534294
sky-dream,0.83,0.519869897,-0.16884391,0.27008122,0.138664626,0.023911766
bid_price-london,0.42,0,0,0,0,0
fertilizer-growth,1.67,0.464341668,-0.032973498,0.196662468,0.189920381,-0.243068844
hashtag-topic,2.5,0.485521734,-0.019449372,0.120343477,-0.166178823,-0.087049067
orion-constellation,3.17,0.615232944,0.018136204,0.317992051,0.128099807,-0.12669456
nietzsche-chelsea,0.17,0.082307522,0.135850438,0.199269548,0.164066106,0.094333697
mutual_respect-competition,1.5,0.207222164,-0.008000119,0.156271812,0.075982727,0.051314883
branch-arm,3,0.368084133,0.138701596,0.119380832,-0.190009486,-0.094770476
victim-phone,0.08,0.357041636,0.220318854,0.26492393,0.004344012,-0.049677498
standard_deviation-accumulation,0.5,0.386669861,-0.246587068,-0.049254631,-0.325159033,0.089315658
avalanche-snow,2.08,0.515720517,0.06017888,0.273743868,-0.010718335,0.011340121
teacher-student,2,0.717157883,0.002641208,0.347698867,-0.101929344,0.112373791
cattle-yogurt,1.5,0.29821676,-0.195271206,0.019482868,0.062740568,-0.127648264
sexism-gender_discrimination,3.92,0.706033391,0.085631743,0.413694704,0.16437,-0.03644296
south_pole-dance,0,0.134652921,0.080242127,-0.062019385,-0.14054729,-0.184095915
prosecutor-lawyer,3.33,0.635305264,-0.047416976,0.204920855,-0.210872377,-0.032200346
racket-ball,2.5,0.468660057,0.132012039,0.050216421,-0.3767851,-0.153962672
bank_loan-debt,3.25,0,0,0,0,0
perspective-distance,1.58,0.367335588,0.191372555,0.357510567,0.123015232,0.155836785
federer-dylan,0.5,0.236344069,0.154906157,0.292110801,0.176679249,0.140350946
lawyer-gallery,0.33,0.144984004,-0.123649403,0.142129809,0.190447312,0.064002763
life_expectancy-statistical_measure,2.67,0.449375719,0.028679239,0.272962809,0.120042757,0.026721094
cell_membrane-provirus,1.83,0.73815374,0.20124726,0.497435301,0.012629251,0.05289685
european_union-moscow,2,0.292880327,0.010548253,0.152913431,0.01745918,-0.010071887
world-asia,2.17,0.572934031,0.024637911,0.42516169,0.184981301,0.250626445
paint-photoshop,3.17,0.503669679,0.170783212,0.50799042,0.397739196,0.135649481
senate-constitution,1.83,0.576679349,0.028268054,0.349626797,0.090814283,0.078798488
parsley-muffin,1,0.591178238,-0.17985953,0.246171311,-0.049523562,0.099304533
mind-brain,3.83,0.56047684,0.081817379,0.391818964,0.208729294,-0.037634522
mercedes-opel,3.17,0.663531542,-0.065539293,0.376993746,0.064428613,0.149487764
hammer-teeth,0,0.427027524,0.129698701,0.167012418,-0.235396816,-0.018174101
renaissance-renascence,4,0.573962033,0.016174742,0.332383633,0.041639077,0.015958026
skirt-watch,1,0.329533716,-0.112481996,0.177253529,0.214065254,-0.005719945
opera-cinema,2.75,0.462472824,-0.068973944,0.257477597,0.08637058,0.064547617
teacher-instructor,3.83,0.694251537,-0.034669291,0.389166981,0.091878086,0.061700322
sun-cable,0.08,0.193251237,0.001521515,0.063630153,0.039498642,-0.110828995
recession-gdp,2,0.555470824,-0.181257695,0.172496587,0.121382028,-0.22510545
caesar-julius_caesar,3.92,0.81493324,0.235122383,0.484794021,-0.017283648,-0.1458994
patient-session,0.67,0.211109979,-0.120716333,0.166214034,0.022938529,0.235417201
behaviourism-therapy,2.17,0.511982022,0.230103313,0.516531825,0.082742145,0.399639589
emperor-constitution,1.25,0.252748609,-0.110621496,0.19247365,0.179865788,0.120478548
mathematician-show,0.08,0.063662823,-0.00861276,0.11033915,-0.090296795,0.303690988
entropy-information,1.75,0.378700763,-0.027518161,0.113033517,0.124151029,-0.275494337
rosewater-rose_oil,3.17,0,0,0,0,0
citrus_fruit-grapefruit,3.5,0.796624112,0.049948074,0.426267803,-0.091318002,0.049279612
queen_victoria-england,1.75,0.413921575,-0.173511992,0.191458296,0.213296858,-0.055557654
olympic_games-spirit,0.83,0.162227169,-0.004695473,0.0985303,0.129804611,-0.08922977
bishop-muslim,1.67,0.155283615,-0.015235272,0.115031205,-0.042944046,0.154766425
man-suspect,1,0.502859682,-0.226932497,-0.03377975,0.038250414,-0.369427554
meteorite-earth,1.83,0.577161541,-0.05318652,0.161309093,-0.008004856,-0.213941012
symbol-sign,3.42,0.47055864,-0.141242943,0.072836999,0.065235477,-0.253892214
anthropology-new_york,0.08,0.268373982,-0.014823822,0.108597077,-0.201002598,0.143724987
sunset-table,0,0.295228064,-0.054254685,0.270771918,0.121933356,0.201684684
town-city,3.75,0.762779951,-0.066559404,0.332918594,-0.303898132,0.180346751
jacket-mineral_water,0,0.109231933,0.134112433,0.305468976,0.187005114,0.185609922
nature-flora,3,0.387674199,-0.030277267,0.207185996,-0.1323243,0.184697833
subroutine-compiler,2.67,0.742975473,-0.184723631,0.31634438,0.21785289,-0.132627875
hamadan-rome,2.58,0.347215909,-0.113024214,0.187703412,-0.195886135,0.270987625
umbrella-heater,0.17,0.198975575,0.071992621,0.241850316,0.240773857,0.06089345
honor-esteem,3.25,0.478129266,0.098893858,0.152768176,-0.022851832,-0.285170214
insignia-dignity,0.58,0.353949606,-0.10754945,0.109482851,0.036240112,-0.05079973
kfc-mcdonald's,3.17,0,0,0,0,0
joystick-radar,0.67,0.467476489,0.001148684,0.283135418,0.07164619,0.084973494
basmati-jasmine_rice,3.58,0.812932003,0.045178039,0.470882086,0.024443239,0.178360613
medal-trainers,0.42,0.154113159,0.081235823,0.000259098,-0.068947975,-0.165948734
law-swimming_pool,0.08,0.153144091,-0.478796005,-0.167726129,-0.135619223,0.111628294
source-box,0,0.220097985,0.063854348,0.210986686,0.105084775,0.070178989
theatre-battery,0,0.121357023,-0.23378481,-0.035612257,0.038605291,-0.000838844
flora-web_browser,0,0.06146653,-0.21260907,-0.022919664,0.178613759,-0.071410319
shirt-cardigan,3.25,0.517602355,0.260145412,0.491249949,0.230503902,0.193842464
poem-rhythm,1.42,0.322762689,-0.007639952,0.315150112,0.116674438,0.246130378
prophet-priest,2.58,0.485826372,-0.094905898,0.223116338,0.048964404,-0.022011687
oscars-stadium,0.08,0.135179632,0.098234259,0.318247773,0.151612639,0.293440479
backgammon-go,3.25,0.205362439,0.008638062,-0.074421085,-0.204668537,-0.141182199
butterfly-rose,1.25,0.240077436,-0.396644914,-0.202309054,-0.136077091,-0.121647477
fence-jumping,1.58,0.626319766,-0.020561719,0.30547744,0.23722057,-0.166725606
nihilism-film,0.17,0.216852471,0.176209161,-0.081666365,-0.113315001,-0.405778837
asteroid-star,2.25,0.394040799,-0.084195055,0.132489689,0.040087792,-0.062820975
riot-drawing,0.08,0.224480033,-0.115107074,-0.080682939,-0.273930907,0.024252063
underwear-body,1.25,0.402266425,0.207324728,0.396323949,0.180350789,0.136467114
boeing-plane,2.83,0.515690327,-0.149288341,0.016423234,-0.103730388,-0.23289457
cameo-performance,2.42,0.297426701,0.076341286,0.18066534,-0.221740976,0.175821394
semester-term,3.83,0.355563343,-0.004272139,0.241258577,0.092457302,0.015256848
orange-citrus,3,0.435359865,-0.010746433,0.158965498,-0.111390277,-0.01369554
glacier-global_warming,1.58,0.277919932,-0.05988571,-0.000820402,-0.285021748,0.065466885
tunnel-path,2,0.53679496,-0.26983376,0.130172893,-0.267088429,0.215557963
